cube_id,name,created
1,Holiday Cube 2013,2017-06-11 19:31:23.760127
2,Holiday Cube 2014,2017-09-17 21:44:37.318094
3,Summer 2015,2017-09-17 21:45:23.023087
4,Holiday Cube 2015,2017-09-17 21:45:42.656931
5,Summer 2016,2017-09-17 21:45:52.230403
6,Holiday Cube 2016,2017-09-17 21:46:06.93685
7,Summer 2017,2017-09-17 21:46:25.217166
8,Our Cube,2017-09-17 21:57:16.479766
9,Our Binder,2017-09-17 21:57:24.464024
10,Winter 2017,2018-01-05 02:37:10.538691
11,Summer 2018,2018-07-01 01:57:43.451704
12,Winter 2018,2019-01-19 16:35:14.56246
13,Summer 2019,2019-05-30 12:55:37.305055
14,Winter 2019,2020-01-12 22:14:37.195353
15,Covid 2020,2020-05-06 01:24:16.850405
16,Summer 2020,2020-09-13 21:16:32.824428
17,Winter 2020,2020-11-14 18:07:45.123192
18,Spring 2021,2021-05-26 00:04:05.900808
19,Gaby/LSV 2021,2021-05-27 03:52:51.639348
20,July 2021,2021-10-25 02:15:14.330863
23,Fall 2021,2021-10-25 02:22:31.318454
24,Spring 2022,2022-02-27 14:06:44.620243
